Chroococcidiopsis_muralis	-	KU574617.1	insd
Jacksonvillea_apiculata	UPOC_58/2013	KX236190.1	insd
Komarekiella_atlantica	CCIBT_3483	KX638487.1	insd
Komarekiella_atlantica	HA4396-MV6	KX646832.1	insd
Pegethrix_convoluta	GSE-PSE-MK38-07D	KY078763.1	insd
Pegethrix_indistincta	GSE-TBC-7GA	KY078765.1	insd
Pegethrix_bostrychoides	GSE-PSE-MK47-15B	KY078768.1	insd
Drouetiella_fasciculata	GSE-PSE-MK29-07A	KY078770.1	insd
Timaviella_radians	GSE-UNK-07R	KY078773.1	insd
Kaiparowitsia_implicata	GSE-PSE-MK54-09C	KY078776.1	insd
Gloeotrichia_pisum	SL6-1-1	KY296602.1	insd
Cyanomargarita_melechinii	APA-RS9	KY296603.1	insd
Cyanomargarita_calcarea	GSE-NOS12-04C	KY296606.1	insd
Rivularia_halophila	PUNA_NP3_PCI185B	KY296608.1	insd
Tildeniella_torsiva	UHER1998/13D	KY498229.1	insd
Synechococcus_sp.	NKBG15041c	LC006088.1	insd
Timaviella_circinata	type_strain:_GR4	LT634149.1	insd
Timaviella_karstica	type_strain:_GR13	LT634150.1	insd
Chamaethrix_vaginata	F12/109	MF133444.1	insd
Thermosynechococcus_elongatus	NIES-2133	MF191714.1	insd
Onodrimia_javanensis	27	MG000960.1	insd
Oscillatoria_princeps	CCALA_1115	MG255269.1	insd
Oscillatoria_princeps	CCALA_1115	MG255271.1	insd
Pleurocapsa_minor	GSE_CHR_MK_17_07R	MG710501.1	insd
Pleurocapsales_cyanobacterium	ATA6-12-RM16	MG869760.1	insd
Pleurocapsales_cyanobacterium	ATA3-5Q-KO4	MG869762.1	insd
Nostoc_oromo	ETH._2.4._M5	MH427659.1	insd
Nostoc_sp.	ATA5.5-1-LB6	MH427674.1	insd
Nostoc_indistinguendum	CM1-VF10	MH427692.1	insd
Halospirulina_tapeticola	CCC_Baja-95_Cl.2	NR_026510.1	refseq
Planktothricoides_raciborskii	NIES-207	NR_040858.1	refseq
Rubidibacter_lacunae	KORDI_51-2	NR_044104.1	refseq
Gloeobacter_violaceus	PCC_7421	NR_074282.1	refseq
Synechococcus_elongatus	PCC_6301	NR_074309.1	refseq
Microcystis_aeruginosa	NIES-843	NR_074314.1	refseq
Nostoc_punctiforme	PCC_73102	NR_074317.1	refseq
Acaryochloris_marina	MBIC11017	NR_074407.1	refseq
